chrom	chrompos	abspos	bincount	ratio
chr1	0	0	605	504.96619647775645
chr1	933309	933309	103	85.96945163175027
chr1	1214772	1214772	112	93.48134546365078
chr1	1505830	1505830	127	106.0011685168183
chr1	1823923	1823923	152	126.8675402720975
chr1	2102314	2102314	119	99.32392955512896
chr1	2381399	2381399	156	130.20615975294217
chr1	2743594	2743594	103	85.96945163175027
chr1	3020787	3020787	112	93.48134546365078
chr1	3299273	3299273	82	68.44169935731576
chr1	3577721	3577721	142	118.52099156998581
chr1	4005856	4005856	124	103.4972039061848
chr1	4285057	4285057	78	65.10307987647109
chr1	4563493	4563493	53	44.23670812119189
chr1	4840562	4840562	90	75.1189383190051
chr1	5119068	5119068	70	58.42584091478174
chr1	5397788	5397788	103	85.96945163175027
chr1	5674682	5674682	108	90.14272598280611
chr1	5953663	5953663	141	117.68633669977464
chr1	6231044	6231044	110	91.81203572322845
chr1	6509708	6509708	131	109.33978799766297
chr1	6787576	6787576	119	99.32392955512896
chr1	7064421	7064421	104	86.80410650196144
chr1	7342371	7342371	127	106.0011685168183
chr1	7622305	7622305	160	133.54477923378684
chr1	7900852	7900852	124	103.4972039061848
chr1	8178699	8178699	150	125.19823053167516
chr1	8455641	8455641	134	111.84375260829647
chr1	8734765	8734765	125	104.33185877639596
chr1	9012272	9012272	117	97.65461981470662
chr1	9289763	9289763	104	86.80410650196144
chr1	9566814	9566814	116	96.81996494449545
chr1	9844759	9844759	85	70.94566396794926
chr1	10122233	10122233	115	95.98531007428429
chr1	10399224	10399224	114	95.15065520407312
chr1	10676098	10676098	94	78.45755779984977
chr1	10952910	10952910	102	85.1347967615391
chr1	11232951	11232951	115	95.98531007428429
chr1	11510408	11510408	148	123.52892079125283
chr1	11787322	11787322	126	105.16651364660713
chr1	12064786	12064786	126	105.16651364660713
chr1	12342862	12342862	95	79.29221267006093
chr1	12619890	12619890	132	110.17444286787413
chr1	12907285	12907285	216	180.28545196561222
chr1	13928647	13928647	97	80.96152241048327
chr1	14207054	14207054	98	81.79617728069444
chr1	14485835	14485835	85	70.94566396794926
chr1	14766050	14766050	81	67.60704448710459
chr1	15042839	15042839	73	60.92980552541524
chr1	15319626	15319626	94	78.45755779984977
chr1	15597337	15597337	106	88.47341624238378
chr1	15874851	15874851	103	85.96945163175027
chr1	16151722	16151722	117	97.65461981470662
chr1	16432323	16432323	119	99.32392955512896
chr1	16709322	16709322	323	269.59352307820717
chr1	17043102	17043102	203	169.43493865286706
chr1	17428484	17428484	123	102.66254903597363
chr1	17705473	17705473	127	106.0011685168183
chr1	17982515	17982515	97	80.96152241048327
chr1	18259065	18259065	77	64.26842500625992
chr1	18536262	18536262	63	52.583256823303564
chr1	18813230	18813230	124	103.4972039061848
chr1	19090046	19090046	129	107.67047825724063
chr1	19366987	19366987	117	97.65461981470662
chr1	19645123	19645123	101	84.30014189132794
chr1	19922226	19922226	127	106.0011685168183
chr1	20198956	20198956	99	82.6308321509056
chr1	20475946	20475946	104	86.80410650196144
chr1	20752790	20752790	122	101.82789416576246
chr1	21030114	21030114	96	80.1268675402721
chr1	21310279	21310279	111	92.64669059343962
chr1	21589119	21589119	111	92.64669059343962
chr1	21878156	21878156	129	107.67047825724063
chr1	22155116	22155116	137	114.34771721892997
chr1	22441497	22441497	128	106.83582338702946
chr1	22718168	22718168	115	95.98531007428429
chr1	22994691	22994691	145	121.02495618061931
chr1	23272125	23272125	109	90.97738085301728
chr1	23549011	23549011	118	98.48927468491779
chr1	23826370	23826370	110	91.81203572322845
chr1	24104119	24104119	152	126.8675402720975
chr1	24467305	24467305	114	95.15065520407312
chr1	24744242	24744242	155	129.371504882731
chr1	25021885	25021885	91	75.95359318921626
chr1	25301603	25301603	136	113.5130623487188
chr1	25580282	25580282	123	102.66254903597363
chr1	25905150	25905150	95	79.29221267006093
chr1	26182438	26182438	68	56.7565311743594
chr1	26459352	26459352	75	62.59911526583758
chr1	26736298	26736298	79	65.93773474668225
chr1	27017516	27017516	64	53.41791169351473
chr1	27296701	27296701	55	45.906017861614224
chr1	27575198	27575198	126	105.16651364660713
chr1	27853322	27853322	106	88.47341624238378
chr1	28130337	28130337	123	102.66254903597363
chr1	28409981	28409981	145	121.02495618061931
chr1	28688151	28688151	130	108.5051331274518
chr1	28965867	28965867	104	86.80410650196144
chr1	29243670	29243670	82	68.44169935731576
chr1	29521297	29521297	71	59.260495784992905
chr1	29799993	29799993	0	0.0
chr1	30227598	30227598	0	0.0
chr1	30505488	30505488	0	0.0
chr1	30782349	30782349	0	0.0
chr1	31069854	31069854	0	0.0
chr1	31346899	31346899	0	0.0
chr1	31624676	31624676	0	0.0
chr1	31901890	31901890	0	0.0
chr1	32179767	32179767	0	0.0
chr1	32457165	32457165	0	0.0
chr1	32734378	32734378	0	0.0
chr1	33012342	33012342	0	0.0
chr1	33290046	33290046	0	0.0
chr1	33570109	33570109	0	0.0
chr1	33849201	33849201	0	0.0
chr1	34126452	34126452	0	0.0
chr1	34407530	34407530	0	0.0
chr1	34688629	34688629	0	0.0
chr1	34968838	34968838	0	0.0
chr1	35251414	35251414	0	0.0
chr1	35532221	35532221	0	0.0
chr1	35810238	35810238	0	0.0
chr1	36087241	36087241	0	0.0
chr1	36364037	36364037	0	0.0
chr1	36641072	36641072	0	0.0
chr1	36918072	36918072	0	0.0
chr1	37195565	37195565	0	0.0
chr1	37472766	37472766	0	0.0
chr1	37753471	37753471	0	0.0
chr1	38031181	38031181	0	0.0
chr1	38308265	38308265	0	0.0
chr1	38586725	38586725	0	0.0
chr1	38863385	38863385	0	0.0
chr1	39142732	39142732	0	0.0
chr1	39421474	39421474	0	0.0
chr1	39698665	39698665	0	0.0
chr1	39983478	39983478	0	0.0
chr1	40272998	40272998	0	0.0
chr1	40552687	40552687	0	0.0
chr1	40829822	40829822	0	0.0
chr1	41112950	41112950	0	0.0
chr1	41389721	41389721	0	0.0
chr1	41669676	41669676	0	0.0
chr1	41947243	41947243	0	0.0
chr1	42224686	42224686	0	0.0
chr1	42505101	42505101	0	0.0
chr1	42787601	42787601	0	0.0
chr1	43065808	43065808	0	0.0
chr1	43343822	43343822	0	0.0
chr1	43624150	43624150	0	0.0
chr1	43901385	43901385	0	0.0
chr1	44179322	44179322	0	0.0
chr1	44455983	44455983	0	0.0
chr1	44733316	44733316	0	0.0
chr1	45010071	45010071	0	0.0
chr1	45287480	45287480	0	0.0
chr1	45566075	45566075	0	0.0
chr1	45851058	45851058	0	0.0
chr1	46129113	46129113	0	0.0
chr1	46409885	46409885	0	0.0
chr1	46689302	46689302	0	0.0
chr1	46968963	46968963	0	0.0
chr1	47249054	47249054	0	0.0
chr1	47561512	47561512	0	0.0
chr1	47845165	47845165	0	0.0
chr1	48122411	48122411	0	0.0
chr1	48399251	48399251	0	0.0
chr1	48684850	48684850	0	0.0
chr1	48969300	48969300	0	0.0
chr1	49246052	49246052	0	0.0
chr1	49527079	49527079	0	0.0
chr1	49811816	49811816	0	0.0
chr1	50093911	50093911	0	0.0
chr1	50379538	50379538	0	0.0
chr1	50660365	50660365	0	0.0
chr1	50938092	50938092	0	0.0
chr1	51214783	51214783	0	0.0
chr1	51497589	51497589	0	0.0
chr1	51774560	51774560	0	0.0
chr1	52054182	52054182	0	0.0
chr1	52332390	52332390	0	0.0
chr1	52609977	52609977	0	0.0
chr1	52890044	52890044	0	0.0
chr1	53166965	53166965	0	0.0
chr1	53444703	53444703	0	0.0
chr1	53722653	53722653	0	0.0
chr1	54001308	54001308	0	0.0
chr1	54278060	54278060	0	0.0
chr1	54555482	54555482	0	0.0
chr1	54832801	54832801	0	0.0
chr1	55112354	55112354	0	0.0
chr1	55389700	55389700	0	0.0
chr1	55668507	55668507	0	0.0
chr1	55946109	55946109	0	0.0
chr1	56226697	56226697	0	0.0
chr1	56504228	56504228	0	0.0
chr1	56783498	56783498	0	0.0
chr1	57064082	57064082	0	0.0
chr1	57341782	57341782	0	0.0
chr1	57618638	57618638	0	0.0
chr1	57896185	57896185	0	0.0
chr1	58174514	58174514	0	0.0
chr1	58451793	58451793	0	0.0
chr1	58735979	58735979	0	0.0
chr1	59022247	59022247	0	0.0
chr1	59301197	59301197	0	0.0
chr1	59579746	59579746	0	0.0
